Day,Hour,Marginal Price (Pkr/Kwh)
7,19,14.634959
7,20,24.251368
7,21,24.251368
7,22,24.251368
7,23,24.251368
8,0,24.251368
8,1,24.251368
8,2,24.251368
8,3,24.251368
8,4,24.251368
8,5,24.251368
8,6,24.251368
8,7,10.694885
8,8,13.44
8,9,14.575219
8,10,13.44
8,11,14.648193
8,12,14.478307
8,13,14.47945
8,14,24.251368
8,15,24.251368
8,16,24.251368
8,17,24.251368
8,18,10.05165
8,19,9.769159
8,20,24.251368
8,21,24.251368
8,22,24.251368
8,23,24.064466
9,0,24.251368
9,1,29.636845
9,2,24.251368
9,3,24.251368
9,4,14.430106
9,5,14.429285
9,6,24.251368
9,7,14.659584
9,8,14.470331
9,9,24.251368
9,10,14.477405
9,11,14.569517
9,12,11.9709
9,13,11.9709
9,14,11.9709
9,15,14.495414
9,16,14.501344
9,17,14.494728
9,18,14.640433
9,19,14.529385
9,20,29.647755
9,21,29.640998
9,22,29.65752
9,23,29.653998
10,0,24.251368
10,1,24.251368
10,2,24.251368
10,3,24.251368
10,4,14.464629
10,5,24.251368
10,6,24.251368
10,7,24.251368
10,8,24.251368
10,9,24.251368
10,10,14.470103
10,11,14.473747
10,12,14.474662
10,13,14.473976
10,14,24.251368
10,15,24.251368
10,16,24.251368
10,17,14.519124
10,18,5.7796
10,19,14.501802
10,20,24.251368
10,21,24.251368
10,22,24.251368
10,23,24.251368
11,0,24.251368
11,1,13.44
11,2,13.44
11,3,10.986391
11,4,10.982246
11,5,5.861
11,6,5.637
11,7,5.5362
11,8,3.06566
11,9,3.06566
11,10,3.06566
11,11,5.5362
11,12,5.5362
11,13,5.5362
11,14,5.5362
11,15,5.7796
11,16,5.8083
11,17,5.8083
11,18,3.06566
11,19,13.44
11,20,24.461633
11,21,24.671897
11,22,24.251368
11,23,24.251368
12,0,24.251368
12,1,24.251368
12,2,14.765144
12,3,14.624926
12,4,13.44
12,5,13.44
12,6,14.642262
12,7,14.472846
12,8,14.463257
12,9,14.463943
12,10,14.468731
12,11,14.513206
12,12,13.44
12,13,14.504303
12,14,24.251368
12,15,24.251368
12,16,24.251368
12,17,14.494499
12,18,14.482879
12,19,14.472846
12,20,24.251368
12,21,24.251368
12,22,30.041894
12,23,29.656518
13,0,29.9768
13,1,29.9768
13,2,24.251368
13,3,24.251368
13,4,24.251368
13,5,24.251368
13,6,24.251368
13,7,24.251368
13,8,24.251368
13,9,24.251368
13,10,24.251368
13,11,14.468731
13,12,14.756779
13,13,14.486752
13,14,14.498157
13,15,14.719284
13,16,24.251368
13,17,24.251368
13,18,24.251368
13,19,24.251368
13,20,24.251368
13,21,24.251368
13,22,29.66528
13,23,29.650333
14,0,29.620867
14,1,24.251368
14,2,24.251368
14,3,24.251368
14,4,14.493584
14,5,14.494728
14,6,14.489254
14,7,13.44
14,8,11.9709
14,9,11.9709
14,10,11.9709
14,11,11.98253
14,12,12.316129
14,13,10.562261
14,14,14.504989
14,15,24.251368
14,16,13.44
14,17,14.536917
14,18,14.491312
14,19,24.251368
14,20,24.251368
14,21,24.251368
14,22,24.251368
14,23,24.251368
15,0,29.683922
15,1,29.676648
15,2,24.251368
15,3,24.251368
15,4,24.251368
15,5,13.44
15,6,24.0413
15,7,24.0413
15,8,14.674862
15,9,24.0413
15,10,13.44
15,11,14.476034
15,12,24.0413
15,13,24.0413
15,14,9.781485
15,15,10.709628
15,16,10.068742
15,17,5.861
15,18,5.8083
15,19,11.9709
15,20,14.516165
15,21,24.0413
15,22,24.0413
15,23,24.0413
16,0,22.3903
16,1,22.3903
16,2,14.190765
16,3,13.385
16,4,10.953163
16,5,10.978084
16,6,10.986391
16,7,6.2111
16,8,6.1786
16,9,11.9853
16,10,6.1786
16,11,12.265029
16,12,6.1786
16,13,5.5388
16,14,6.1786
16,15,6.211
16,16,5.5388
16,17,5.5388
16,18,5.5388
16,19,11.9853
16,20,23.345486
16,21,23.345486
16,22,23.345486
16,23,23.345486
17,0,23.345486
17,1,13.385
17,2,6.2111
17,3,5.5388
17,4,12.260096
17,5,12.262873
17,6,12.27076
17,7,5.5388
17,8,5.5388
17,9,5.5388
17,10,6.1786
17,11,6.1786
17,12,5.5388
17,13,6.1786
17,14,6.1786
17,15,6.211
17,16,9.953052
17,17,9.983511
17,18,10.334536
17,19,10.957308
17,20,6.2111
17,21,6.1786
17,22,6.211
17,23,13.385
18,0,13.385
18,1,6.211
18,2,6.211
18,3,6.1786
18,4,5.5388
18,5,5.5388
18,6,5.5388
18,7,5.5388
18,8,5.5388
18,9,5.5388
18,10,5.5388
18,11,6.1786
18,12,6.1786
18,13,6.2111
18,14,10.620767
18,15,22.567922
18,16,22.567922
18,17,12.22368
18,18,22.087607
18,19,23.32301
18,20,23.9748
18,21,23.345486
18,22,23.165682
18,23,23.165682
19,0,28.8676
19,1,28.8676
19,2,28.8676
19,3,23.165682
19,4,23.165682
19,5,14.415299
19,6,23.165682
19,7,11.9853
19,8,11.9853
19,9,11.9853
19,10,11.9853
19,11,11.9853
19,12,11.9853
19,13,14.807212
19,14,14.876851
19,15,14.478091
19,16,14.458927
19,17,11.9853
19,18,11.9853
19,19,23.345486
19,20,22.3903
19,21,22.3903
19,22,22.3903
19,23,22.3903
20,0,23.165682
20,1,23.345486
20,2,22.3903
20,3,13.385
20,4,11.9853
20,5,11.9853
20,6,11.9853
20,7,11.9853
20,8,11.9853
20,9,11.9853
20,10,11.9853
20,11,11.9853
20,12,11.9853
20,13,11.9853
20,14,12.964986
20,15,22.3903
20,16,23.345486
20,17,23.345486
20,18,22.3903
20,19,23.345486
20,20,23.345486
20,21,23.345486
20,22,23.345486
20,23,23.345486
21,0,23.345486
21,1,14.466229
21,2,14.462128
21,3,14.869279
21,4,11.9853
21,5,11.9853
21,6,11.9853
21,7,11.9853
21,8,11.9853
21,9,13.385
21,10,14.600073
21,11,14.469188
21,12,14.476491
21,13,23.345486
21,14,23.345486
21,15,23.345486
21,16,22.3903
21,17,11.9853
21,18,14.477405
21,19,14.483323
21,20,22.3903
21,21,23.345486
21,22,22.3903
21,23,23.78929
22,0,23.78929
22,1,23.78929
22,2,23.78929
22,3,22.3903
22,4,23.78929
22,5,22.3903
22,6,22.3903
22,7,22.3903
22,8,21.242576
22,9,6.211
22,10,6.211
22,11,11.032097
22,12,10.870066
22,13,13.385
22,14,22.3903
22,15,13.385
22,16,23.78929
22,17,22.3903
22,18,22.3903
22,19,22.3903
22,20,22.3903
22,21,28.8676
22,22,28.8676
22,23,28.8676
23,0,28.557598
23,1,23.78929
23,2,23.78929
23,3,23.78929
23,4,22.3903
23,5,22.3903
23,6,22.3903
23,7,22.3903
23,8,13.385
23,9,6.211
23,10,6.2111
23,11,13.385
23,12,13.385
23,13,13.385
23,14,22.567922
23,15,13.385
23,16,13.385
23,17,10.67478
23,18,10.64985
23,19,23.78929
23,20,23.78929
23,21,23.78929
23,22,23.78929
23,23,23.78929
24,0,23.78929
24,1,23.78929
24,2,23.78929
24,3,23.78929
24,4,23.78929
24,5,23.78929
24,6,22.3903
24,7,10.820206
24,8,6.211
24,9,12.24688
24,10,12.23124
24,11,13.385
24,12,13.385
24,13,13.385
24,14,23.78929
24,15,23.78929
24,16,23.78929
24,17,23.78929
24,18,23.78929
24,19,23.78929
24,20,23.493824
24,21,23.189506
24,22,28.8676
24,23,28.8676
25,0,31.38568
25,1,31.38568
25,2,23.78929
25,3,23.32301
25,4,23.32301
25,5,23.78929
25,6,22.3903
25,7,14.585938
25,8,6.211
25,9,6.211
25,10,6.1786
25,11,5.5388
25,12,5.5388
25,13,5.5388
25,14,6.1786
25,15,5.5388
25,16,5.5388
25,17,13.385
25,18,13.385
25,19,23.165682
25,20,23.165682
25,21,23.165682
25,22,23.165682
25,23,23.165682
26,0,14.42868
26,1,14.605546
26,2,14.574305
26,3,23.165682
26,4,23.165682
26,5,23.165682
26,6,14.694712
26,7,23.165682
26,8,23.345486
26,9,23.165682
26,10,23.345486
26,11,22.3903
26,12,9.856523
26,13,6.211
26,14,14.714213
26,15,14.498157
26,16,14.570889
26,17,13.385
26,18,13.385
26,19,14.596657
26,20,14.506132
26,21,14.495414
26,22,14.666429
26,23,14.645449
27,0,23.345486
27,1,13.385
27,2,13.385
27,3,6.211
27,4,6.211
27,5,6.211
27,6,6.1786
27,7,6.211
27,8,6.1786
27,9,6.1786
27,10,6.1786
27,11,6.1786
27,12,5.5388
27,13,5.5388
27,14,5.5388
27,15,5.5388
27,16,5.5388
27,17,5.5388
27,18,5.5388
27,19,24.52575
27,20,21.289887
27,21,24.52575
27,22,22.8735
27,23,23.2984
28,0,10.801515
28,1,6.1786
28,2,6.1786
28,3,6.1786
28,4,6.1786
28,5,24.07549
28,6,5.5388
28,7,5.5388
28,8,22.567922
28,9,22.567922
28,10,6.1786
28,11,6.1786
28,12,24.07549
28,13,24.07549
28,14,24.07549
28,15,24.07549
28,16,24.07549
28,17,24.07549
28,18,24.07549
